시설명,시설코드,시설종류명(시설유형),시설종류상세명(시설종류),자치구(시)구분,시설장명,시군구코드,시군구명,시설주소
성북구립 상월곡실버복지센터,A0495,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김경회,1129000000,성북구,서울특별시 성북구 화랑로18길 6 (상월곡동)
서초구립양재노인종합복지관,A0724,(노인) 노인복지관,노인여가복지시설,자치구,전경아 ,1165000000,서초구,서울특별시 서초구 강남대로30길 73-7양재노인종합복지관 (양재동)
강서구립봉제산노인복지센터,A0922,(노인) 노인복지관(소규모),노인여가복지시설,자치구,서순애,1150000000,강서구,서울특별시 강서구 초록마을로15길 12
시립중랑노인종합복지관,A1022,(노인) 노인복지관,노인여가복지시설,자치구,조희정,1126000000,중랑구,서울특별시 중랑구 겸재로9길 45(면목동)
강남구립강남노인종합복지관,A1165,(노인) 노인복지관,노인여가복지시설,자치구,이동섭,1168000000,강남구,서울특별시 강남구 삼성로 628강남노인종합복지관 (삼성동)
강북노인종합복지관,A1174,(노인) 노인복지관,노인여가복지시설,자치구,김민숙,1130500000,강북구,서울특별시 강북구 삼양로92길 40-0강북노인종합복지관
북가좌2동노인복지센터,A1599,(노인) 노인복지관(소규모),노인여가복지시설,자치구,손남식,1141000000,서대문구,서울특별시 서대문구 증가로20길 43북가좌2동노인복지센터
양천어르신종합복지관,A1732,(노인) 노인복지관,노인여가복지시설,자치구,한승호,1147000000,양천구,서울특별시 양천구 목동로3길 106서울특별시 양천구 목동로3길106 (신정동)
연희노인여가복지시설,A1756,(노인) 노인복지관(소규모),노인여가복지시설,자치구,김태경,1141000000,서대문구,서울특별시 서대문구 홍제천로2길 111연희노인여가복지시설
시립은평노인종합복지관,A2077,(노인) 노인복지관,노인여가복지시설,자치구,김승자,1138000000,은평구,서울특별시 은평구 연서로 415
도봉동어르신복지관,A2149,(노인) 노인복지관(소규모),노인여가복지시설,자치구,박미혜,1132000000,도봉구,서울특별시 도봉구 도봉로 169가길 52
구립역촌노인복지관,A2224,(노인) 노인복지관(소규모),노인여가복지시설,자치구,차화석,1138000000,은평구,서울특별시 은평구 연서로3나길 11-30역촌노인복지관
구립갈현노인복지관,A2247,(노인) 노인복지관(소규모),노인여가복지시설,자치구,손진호,1138000000,은평구,서울특별시 은평구 통일로89길 12-6갈현노인복지관
약수노인복지관,A2255,(노인) 노인복지관,노인여가복지시설,자치구,민진암,1114000000,중구,서울특별시 중구 다산로6길 11신당동
송파노인종합복지관,A2315,(노인) 노인복지관,노인여가복지시설,자치구,이경수,1171000000,송파구,서울특별시 송파구 백제고분로32길 41
