"시설명","시설코드","시설종류명(시설유형)","시설종류상세명(시설종류)","자치구(시)구분","시설장명","시군구코드","시군구명","시설주소"
"참사랑데이케어센터","A0166","(노인) 재가노인복지시설","재가노인복지시설","자치구","최신영","1171000000","송파구","서울특별시 송파구 마천로 89"
"우리사랑재가노인지원센터","A0564","(노인) 재가노인복지시설","재가노인복지시설","자치구","정춘선","1123000000","동대문구","서울특별시 동대문구 휘경로12길 83(휘경동)"
"동대문실버데이케어센터","A0638","(노인) 재가노인복지시설","재가노인복지시설","자치구","이동수","1123000000","동대문구","서울특별시 동대문구 약령시로5길 223층 동대문실버데이케어센터"
"한국씨니어노인복지센터","A0681","(노인) 재가노인복지시설","재가노인복지시설","자치구","반명규","1159000000","동작구","서울특별시 동작구 상도로30길 82층"
"목동종합사회복지관병설목동노인복지센터","A0707","(노인) 재가노인복지시설","재가노인복지시설","자치구","유영덕","1147000000","양천구","서울특별시 양천구 목동중앙북로8길 104목동종합사회복지관 2층"
"효림재가노인지원센터","A0738","(노인) 재가노인복지시설","재가노인복지시설","자치구","김동숙","1141000000","서대문구","서울특별시 서대문구 경기대로9길 62-01-38"
"용산재가노인지원센터","A0773","(노인) 재가노인복지시설","재가노인복지시설","자치구","권용자","1117000000","용산구","서울특별시 용산구 한강대로 43길 13 대우아이빌 712호(한강로동)"
"길음노인복지센터","A0789","(노인) 재가노인복지시설","재가노인복지시설","자치구","장민균","1129000000","성북구","서울특별시 성북구 삼양로2길 55 (길음동)"
"남산실버복지센터","A0839","(노인) 재가노인복지시설","재가노인복지시설","자치구","박창남","1114000000","중구","서울특별시 중구 동호로5길 189 (신당동)"
"행복창조노인복지센터(방문요양)","A0877","(노인) 재가노인복지시설","재가노인복지시설","자치구","김현훈","1138000000","은평구","서울특별시 은평구 응암로21길 10(응암동)"
"정수데이케어센터","A1000","(노인) 재가노인복지시설","재가노인복지시설","자치구","권기현","1120000000","성동구","서울특별시 성동구 한림말길 16-5 (옥수동)"
"우리모두데이케어센터","A1074","(노인) 재가노인복지시설","재가노인복지시설","자치구","김기철","1150000000","강서구","서울특별시 강서구 화곡로63가길 92"
"푸른햇살데이케어센터","A1082","(노인) 재가노인복지시설","재가노인복지시설","자치구","최성숙","1162000000","관악구","서울특별시 관악구 난곡로 110(난항동)"
"시립동부데이케어센터","A1103","(노인) 재가노인복지시설","재가노인복지시설","자치구","곽금봉","1120000000","성동구","서울특별시 성동구 마장로23길 12 (홍익동)"
"휘경데이케어센터","A1144","(노인) 재가노인복지시설","재가노인복지시설","자치구","정국인","1123000000","동대문구","서울특별시 동대문구 망우로20가길 34-6(휘경동)"
"한마음방문요양센터","A1153","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은점","1150000000","강서구","서울특별시 강서구 초록마을로14길 44 (화곡동)"
"참사랑재가노인지원센터","A1193","(노인) 재가노인복지시설","재가노인복지시설","자치구","조병기","1150000000","강서구","서울특별시 강서구 곰달래로 852층"
"아현노인복지센터","A1216","(노인) 재가노인복지시설","재가노인복지시설","자치구","윤승임","1144000000","마포구","서울특별시 마포구 마포대로26길 19-0(공덕동)"
"어르신이행복한세상주야간보호센터","A1294","(노인) 재가노인복지시설","재가노인복지시설","자치구","박병택","1147000000","양천구","서울특별시 양천구 신월로 338원빌딩 2층"
"중계데이케어센터","A1372","(노인) 재가노인복지시설","재가노인복지시설","자치구","구종회","1135000000","노원구","서울특별시 노원구 중계4동 358주공3단지내"
"상계데이케어센터","A1434","(노인) 재가노인복지시설","재가노인복지시설","자치구","박용철","1135000000","노원구","서울특별시 노원구 덕릉로115나길 25상계데이케어센터 (상계동)"
"갈현데이케어센터","A1605","(노인) 재가노인복지시설","재가노인복지시설","자치구","손진호","1138000000","은평구","서울특별시 은평구 통일로89길 12-6갈현노인복지관"
"약수데이케어센터","A1609","(노인) 재가노인복지시설","재가노인복지시설","자치구","강경희","1159000000","동작구","서울특별시 동작구 양녕로36길 132층(상도동)"
"보사노인복지센터","A1676","(노인) 재가노인복지시설","재가노인복지시설","자치구","한서경","1144000000","마포구","서울특별시 마포구 성미산로29안길 302층 (연남동)(연남동)"
"송파노인복지센터","A1717","(노인) 재가노인복지시설","재가노인복지시설","자치구","이후자","1171000000","송파구","서울특별시 송파구 백제고분로41길 19-24신원빌딩"
"효림데이케어센터","A1721","(노인) 재가노인복지시설","재가노인복지시설","자치구","김동금","1141000000","서대문구","서울특별시 서대문구 경기대로9길 624층"
"은천재가노인지원센터","A1722","(노인) 재가노인복지시설","재가노인복지시설","자치구","노선영","1123000000","동대문구","서울특별시 동대문구 장한로27가길 53(장안2동)"
"한빛데이케어센터","A1963","(노인) 재가노인복지시설","재가노인복지시설","자치구","권구택","1147000000","양천구","서울특별시 양천구 신월로11길 16(신월4동)"
"청담노인복지센터","A1980","(노인) 재가노인복지시설","재가노인복지시설","자치구","유지훈","1154500000","금천구","서울특별시 금천구 금하로29길 36(시흥2동)"
"한사랑복지센터","A2055","(노인) 재가노인복지시설","재가노인복지시설","자치구","한정옥","1162000000","관악구","서울특별시 관악구 은천로 83-1"
"송파치매주.야간보호센터","A2065","(노인) 재가노인복지시설","재가노인복지시설","자치구","이경수","1171000000","송파구","서울특별시 송파구 백제고분로32길 41"
"홍은데이케어센터","A2069","(노인) 재가노인복지시설","재가노인복지시설","자치구","백영수","1141000000","서대문구","서울특별시 서대문구 홍은중앙로9길 21홍은중앙로9길 21 "
"노인주간보호센터은빛마을","A2075","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은주","1165000000","서초구","서울특별시 서초구 신반포로 33길 22(잠원동)반포종합사회복지관 2층"
"노원1치매데이케어센터","A2104","(노인) 재가노인복지시설","재가노인복지시설","자치구","김윤희","1135000000","노원구","서울특별시 노원구 월계3동사슴1단지아파트 내 노원1종합사회복지관 1층"
"궁동데이케어센터","A2252","(노인) 재가노인복지시설","재가노인복지시설","자치구","심우철","1153000000","구로구","서울특별시 구로구 부일로17길 158-4(수궁동)"
"그린리버노인복지센터","A2310","(노인) 재가노인복지시설","재가노인복지시설","자치구","윤영자","1171000000","송파구","서울특별시 송파구 성내천로 1894층"
"서초성심노인복지센터(주야간보호)","A2360","(노인) 재가노인복지시설","재가노인복지시설","자치구","오명숙","1165000000","서초구","서울특별시 서초구 반포대로22길 61(서초동 1558-15)"
"마포노인복지센터부설마포재가노인지원센터","A2419","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은정","1144000000","마포구","서울특별시 마포구 만리재로 9923층 (공덕동 헤이븐 오피스텔)(공덕동 헤이븐 오피스텔)"
"다정노인복지센터","A2610","(노인) 재가노인복지시설","재가노인복지시설","자치구","이수정","1120000000","성동구","서울특별시 성동구 용답중앙11길 3-1 (용답동)"
"정토데이케이센터","A2678","(노인) 재가노인복지시설","재가노인복지시설","자치구","안민숙","1153000000","구로구","서울특별시 구로구 디지털로 31길 93(구로3동)"
"관악노인종합사회복지관병설관악데이케어센터","A2773","(노인) 재가노인복지시설","재가노인복지시설","자치구","이석영","1162000000","관악구","서울특별시 관악구 보라매로 35(봉천동)"
"광진데이케어센터","A2777","(노인) 재가노인복지시설","재가노인복지시설","자치구","최광식","1121500000","광진구","서울특별시 광진구 군자로 88(군자동)"
"시립서부데이케어센터","A2795","(노인) 재가노인복지시설","재가노인복지시설","자치구","이희근","1144000000","마포구","서울특별시 마포구 월드컵로36길 15-0(성산동)"
"가양5데이케어센터","A2870","(노인) 재가노인복지시설","재가노인복지시설","자치구","조인영","1150000000","강서구","서울특별시 강서구 양천로57길 36"
"마포데이케어센터","A2905","(노인) 재가노인복지시설","재가노인복지시설","자치구","김윤태","1144000000","마포구","서울특별시 마포구 창전동(마포노인종합복지관 2층)"
"기둥재가노인복지시설","A2958","(노인) 재가노인복지시설","재가노인복지시설","자치구","조성삼","1126000000","중랑구","서울특별시 중랑구 면목로33길 50"
"시립노원노인종합복지관 병설노원데이케어센터","A3130","(노인) 재가노인복지시설","재가노인복지시설","자치구","박지은","1135000000","노원구","서울특별시 노원구 노원로16길 15912동 B1층 (하계동 중계주공9단지아파트)"
"시립성북노인종합복지관 주간보호센터","A3223","(노인) 재가노인복지시설","재가노인복지시설","자치구","최유준","1129000000","성북구","서울특별시 성북구 종암로21길 21-4 (종암동)"
"구로노인종합복지관 병설 데이케어센터","A3269","(노인) 재가노인복지시설","재가노인복지시설","자치구","임성희","1153000000","구로구","서울특별시 구로구 새말로16길 7구로노인종합복지관 (구로동)"
"엘림노인복지원","A3318","(노인) 재가노인복지시설","재가노인복지시설","자치구","유광수","1171000000","송파구","서울특별시 송파구 거마로3길 14-32층"
"서울예정재가노인복지센터","A3334","(노인) 재가노인복지시설","재가노인복지시설","자치구","설동욱","1126000000","중랑구","서울특별시 중랑구 용마산로 3485동 1504호"
"시립서대문노인종합복지관주간보호센터","A3382","(노인) 재가노인복지시설","재가노인복지시설","자치구","탁우상","1141000000","서대문구","서울특별시 서대문구 독립문로8길 57(천연동)"
"중랑데이케어센터","A3397","(노인) 재가노인복지시설","재가노인복지시설","자치구","조희정","1126000000","중랑구","서울특별시 중랑구 면목2동(면목동)"
"성가정데이케어센터","A3430","(노인) 재가노인복지시설","재가노인복지시설","자치구","최은영","1174000000","강동구","서울특별시 강동구 양재대로156길 28(고덕동)"
"덕수노인복지센터","A3678","(노인) 재가노인복지시설","재가노인복지시설","자치구","신영삼","1129000000","성북구","서울특별시 성북구 성북로28길 14(성북동)"
"강남데이케어센터","A3755","(노인) 재가노인복지시설","재가노인복지시설","자치구","이동섭","1168000000","강남구","서울특별시 강남구 삼성로 628삼성로 628"
"동작데이케어센터","A3938","(노인) 재가노인복지시설","재가노인복지시설","자치구","김익환","1159000000","동작구","서울특별시 동작구 대방동대방동"
"목련데이케어센터","A3989","(노인) 재가노인복지시설","재가노인복지시설","자치구","신민선","1168000000","강남구","서울특별시 강남구 개포로 617-8(일원2동)"
"도봉노인종합복지관주간보호센터","A4008","(노인) 재가노인복지시설","재가노인복지시설","자치구","이은주","1132000000","도봉구","서울특별시 도봉구 도당로2길 12-13 "
"용산데이케어센터","A4021","(노인) 재가노인복지시설","재가노인복지시설","자치구","이성희","1117000000","용산구","서울특별시 용산구 독서당로11길 16 (한남동)"
"사)한국한아름복지회재가노인지원센터","A4036","(노인) 재가노인복지시설","재가노인복지시설","자치구","최순임","1168000000","강남구","서울특별시 강남구 개포로24길 29지하1층 (개포동)"
"구립영등포노인종합복지관병설데이케어센터","A4044","(노인) 재가노인복지시설","재가노인복지시설","자치구","박영숙","1156000000","영등포구","서울특별시 영등포구 도림로 482"
"성동노인종합복지관병설성동데이케어센터","A4120","(노인) 재가노인복지시설","재가노인복지시설","자치구","김광수","1120000000","성동구","서울특별시 성동구 마조로 77 (마장동)"
"양천어르신종합복지관병설양천데이케어센터","A4153","(노인) 재가노인복지시설","재가노인복지시설","자치구","한승호","1147000000","양천구","서울특별시 양천구 신정7동(신정7동)"
"시립은평노인종합복지관 은평데이케어센터","A4163","(노인) 재가노인복지시설","재가노인복지시설","자치구","김승자","1138000000","은평구","서울특별시 은평구 연서로 415(진관동)"
